,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
214,23.0,Sun,2016-03-20,15:30,Platinum Stars,1–0,Black Aces,1831.0,Royal Bafokeng Stadium,Daniel Bennett,Match Report,
215,23.0,Sun,2016-03-20,15:30,Chippa Utd,2–2,Maritzburg Utd,7500.0,Nelson Mandela Bay Stadium,Olani Kwinda,Match Report,
216,,,,,,,,,,,,
217,24.0,Sat,2016-04-09,18:00,Maritzburg Utd,2–4,Univ Pretoria,8000.0,Harry Gwala Stadium,Thando Ndzandzeka,Match Report,
218,24.0,Sat,2016-04-09,20:15,Orlando Pirates,1–0,Free State Stars,4000.0,Orlando Stadium,Robert Smith,Match Report,
219,24.0,Sun,2016-04-10,15:00,Bloem Celtic,0–0,Golden Arrows,2000.0,Dr. Petrus Molemela Stadium,Bafana Mosia,Match Report,
220,24.0,Sun,2016-04-10,15:00,SuperSport,1–1,Chippa Utd,2500.0,Peter Mokaba Stadium,Khulekane Thusi,Match Report,
221,24.0,Tue,2016-04-12,19:30,Black Aces,2–2,Kaizer Chiefs,25000.0,Mbombela Stadium,Zolile Mthetho,Match Report,
222,24.0,Wed,2016-04-13,19:30,Ajax Cape Town,1–1,Platinum Stars,3000.0,Cape Town Stadium,Victor Gomes,Match Report,
223,24.0,Wed,2016-04-13,19:30,Jomo Cosmos,0–1,Bidvest Wits,1500.0,Profert Olën Park,Daniel Bennett,Match Report,
224,24.0,Wed,2016-04-13,19:30,Polokwane City,1–3,Sundowns,12684.0,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
225,,,,,,,,,,,,
226,25.0,Fri,2016-04-15,20:00,Maritzburg Utd,0–2,Black Aces,8000.0,Harry Gwala Stadium,Phillip Tinyani,Match Report,
227,25.0,Sat,2016-04-16,15:00,Golden Arrows,1–4,Orlando Pirates,16000.0,Moses Mabhida Stadium,Olani Kwinda,Match Report,
228,25.0,Sat,2016-04-16,15:00,Polokwane City,1–0,Chippa Utd,3821.0,Peter Mokaba Stadium,Kulasande Qongqo,Match Report,
229,25.0,Sat,2016-04-16,18:00,Sundowns,2–0,Jomo Cosmos,3500.0,Lucas Masterpieces Moripe Stadium,Robert Smith,Match Report,
230,25.0,Sat,2016-04-16,20:15,Bidvest Wits,0–0,Free State Stars,2000.0,BidVest Stadium,Zolile Mthetho,Match Report,
231,25.0,Sat,2016-04-16,20:15,Kaizer Chiefs,0–0,Ajax Cape Town,3000.0,Soccer City,Khulekane Thusi,Match Report,
232,25.0,Sun,2016-04-17,15:00,Bloem Celtic,1–1,Univ Pretoria,7000.0,Dr. Petrus Molemela Stadium,Daniel Bennett,Match Report,
233,25.0,Sun,2016-04-17,15:00,Platinum Stars,0–2,SuperSport,1019.0,Royal Bafokeng Stadium,Phelelani Ndaba,Match Report,
234,,,,,,,,,,,,
235,15.0,Wed,2016-04-20,19:30,Golden Arrows,1–1,Maritzburg Utd,3000.0,Princess Magogo Stadium,Zolile Mthetho,Match Report,
236,,,,,,,,,,,,
237,26.0,Tue,2016-04-26,18:00,Free State Stars,0–1,Maritzburg Utd,2300.0,Goble Park Stadium,Kulasande Qongqo,Match Report,
238,26.0,Tue,2016-04-26,19:30,SuperSport,0–2,Bidvest Wits,1500.0,Lucas Masterpieces Moripe Stadium,Victor Gomes,Match Report,
239,26.0,Wed,2016-04-27,15:00,Black Aces,2–4,Golden Arrows,32400.0,Mbombela Stadium,Thando Ndzandzeka,Match Report,
240,26.0,Wed,2016-04-27,15:00,Jomo Cosmos,0–0,Bloem Celtic,3000.0,Profert Olën Park,Zolile Mthetho,Match Report,
241,26.0,Wed,2016-04-27,15:00,Chippa Utd,4–1,Platinum Stars,7500.0,Isaac Wolfson Stadium,Khulekane Thusi,Match Report,
242,26.0,Wed,2016-04-27,17:30,Ajax Cape Town,0–0,Sundowns,12000.0,Athlone Stadium,Victor Hlungwani,Match Report,
243,26.0,Wed,2016-04-27,19:30,Orlando Pirates,0–0,Polokwane City,1900.0,Soccer City,Phelelani Ndaba,Match Report,
244,26.0,Wed,2016-04-27,19:30,Univ Pretoria,1–2,Kaizer Chiefs,8000.0,ABSA Tuks Stadium,Phillip Tinyani,Match Report,
245,,,,,,,,,,,,
246,27.0,Fri,2016-04-29,20:00,Maritzburg Utd,1–2,SuperSport,5000.0,Harry Gwala Stadium,Thando Ndzandzeka,Match Report,
247,27.0,Sat,2016-04-30,15:00,Golden Arrows,1–0,Free State Stars,1500.0,Chatsworth Stadium,Lwandile Mfiki,Match Report,
248,27.0,Sat,2016-04-30,15:00,Polokwane City,0–0,Black Aces,3891.0,Peter Mokaba Stadium,Khulekane Thusi,Match Report,
249,27.0,Sat,2016-04-30,18:00,Bidvest Wits,1–1,Chippa Utd,2000.0,BidVest Stadium,Phillip Tinyani,Match Report,
250,27.0,Sat,2016-04-30,20:15,Sundowns,3–1,Kaizer Chiefs,35000.0,Loftus Versfeld Stadium,Robert Smith,Match Report,
251,27.0,Sun,2016-05-01,15:00,Jomo Cosmos,1–0,Univ Pretoria,1500.0,Profert Olën Park,Victor Gomes,Match Report,
252,27.0,Sun,2016-05-01,15:00,Bloem Celtic,5–0,Ajax Cape Town,7000.0,Dr. Petrus Molemela Stadium,Shane Chuma,Match Report,
253,27.0,Mon,2016-05-02,17:00,Platinum Stars,2–1,Orlando Pirates,11399.0,Royal Bafokeng Stadium,Zolile Mthetho,Match Report,
254,,,,,,,,,,,,
255,28.0,Tue,2016-05-03,19:30,Black Aces,2–2,Bidvest Wits,7200.0,Mbombela Stadium,Kulasande Qongqo,Match Report,
256,28.0,Wed,2016-05-04,19:30,Ajax Cape Town,2–2,Jomo Cosmos,800.0,Athlone Stadium,Victor Hlungwani,Match Report,
257,28.0,Wed,2016-05-04,19:30,Univ Pretoria,0–3,Sundowns,12000.0,ABSA Tuks Stadium,Thando Ndzandzeka,Match Report,
258,28.0,Wed,2016-05-04,19:30,Kaizer Chiefs,0–0,Bloem Celtic,3000.0,Soccer City,Daniel Bennett,Match Report,
259,28.0,Sat,2016-05-07,15:00,Chippa Utd,0–0,Golden Arrows,1500.0,Buffalo City Stadium,Shane Chuma,Match Report,
260,28.0,Sat,2016-05-07,15:00,Free State Stars,1–1,Platinum Stars,2300.0,Goble Park Stadium,Akhona Makhalima,Match Report,
261,28.0,Sat,2016-05-07,20:15,Orlando Pirates,0–0,Maritzburg Utd,1900.0,Orlando Stadium,Robert Smith,Match Report,
262,28.0,Sun,2016-05-08,15:00,SuperSport,2–2,Polokwane City,1300.0,Lucas Masterpieces Moripe Stadium,Zolile Mthetho,Match Report,
263,,,,,,,,,,,,
264,29.0,Wed,2016-05-11,19:30,Free State Stars,2–2,Kaizer Chiefs,8000.0,Goble Park Stadium,Zolile Mthetho,Match Report,
265,29.0,Wed,2016-05-11,19:30,Chippa Utd,2–0,Orlando Pirates,1100.0,Nelson Mandela Bay Stadium,Victor Hlungwani,Match Report,
266,29.0,Wed,2016-05-11,19:30,Maritzburg Utd,1–0,Ajax Cape Town,8000.0,Harry Gwala Stadium,Victor Gomes,Match Report,
267,29.0,Wed,2016-05-11,19:30,Platinum Stars,2–3,Bloem Celtic,1500.0,Royal Bafokeng Stadium,Kulasande Qongqo,Match Report,
268,29.0,Wed,2016-05-11,19:30,Golden Arrows,1–0,Jomo Cosmos,500.0,Princess Magogo Stadium,Phillip Tinyani,Match Report,
269,29.0,Wed,2016-05-11,19:30,SuperSport,0–0,Black Aces,850.0,Lucas Masterpieces Moripe Stadium,Khulekane Thusi,Match Report,
270,29.0,Wed,2016-05-11,19:30,Polokwane City,2–2,Univ Pretoria,2000.0,Peter Mokaba Stadium,Daniel Bennett,Match Report,
271,29.0,Wed,2016-05-11,19:30,Bidvest Wits,0–1,Sundowns,5000.0,BidVest Stadium,Phelelani Ndaba,Match Report,
272,,,,,,,,,,,,
273,30.0,Sat,2016-05-21,15:00,Sundowns,1–0,Platinum Stars,28000.0,Lucas Masterpieces Moripe Stadium,Akhona Makhalima,Match Report,
274,30.0,Sat,2016-05-21,15:00,Ajax Cape Town,1–0,Bidvest Wits,2500.0,Cape Town Stadium,Khulekane Thusi,Match Report,
275,30.0,Sat,2016-05-21,15:00,Univ Pretoria,2–1,Golden Arrows,2000.0,ABSA Tuks Stadium,Robert Smith,Match Report,
276,30.0,Sat,2016-05-21,15:00,Black Aces,1–0,Free State Stars,7200.0,Mbombela Stadium,Thando Ndzandzeka,Match Report,
277,30.0,Sat,2016-05-21,15:00,Orlando Pirates,2–2,SuperSport,3000.0,Orlando Stadium,Phelelani Ndaba,Match Report,
278,30.0,Sat,2016-05-21,15:00,Bloem Celtic,1–1,Polokwane City,7000.0,Dr. Petrus Molemela Stadium,Kulasande Qongqo,Match Report,
279,30.0,Sat,2016-05-21,15:00,Jomo Cosmos,1–3,Maritzburg Utd,7000.0,Profert Olën Park,Daniel Bennett,Match Report,
280,30.0,Sat,2016-05-21,15:00,Kaizer Chiefs,0–2,Chippa Utd,3000.0,Soccer City,Shane Chuma,Match Report,
