Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,
2019-04-27,15:00,Highlands Park,0–2,Polokwane City,4000.0,Makhulong Stadium,Kulasande Qongqo,Match Report,
2019-04-27,15:00,Black Leopards,1–2,Maritzburg Utd,9000.0,Thohoyandou Stadium,Luxolo Badi,Match Report,
2019-04-27,18:00,SuperSport,1–1,Bidvest Wits,1400.0,Lucas Masterpieces Moripe Stadium,Phelelani Ndaba,Match Report,
2019-04-27,20:15,Bloem Celtic,1–0,Kaizer Chiefs,6411.0,Dr. Petrus Molemela Stadium,Akhona Makhalima,Match Report,
2019-04-28,15:00,Baroka FC,1–0,AmaZulu,2000.0,Peter Mokaba Stadium,Masixole Bambiso,Match Report,
2019-04-28,15:00,Golden Arrows,2–1,Free State Stars,1500.0,Sugar Ray Xulu Stadium,Thando Ndzandzeka,Match Report,
2019-04-30,19:30,Black Leopards,1–2,Sundowns,13500.0,Thohoyandou Stadium,Eugene Mdluli,Match Report,
2019-05-04,15:00,Polokwane City,1–3,Chippa Utd,1350.0,Pietersburg Stadium,Cedrick Muvhali,Match Report,
2019-05-04,15:00,Maritzburg Utd,3–1,SuperSport,10500.0,Harry Gwala Stadium,Victor Hurtado,Match Report,
2019-05-04,15:00,Bidvest Wits,3–1,Baroka FC,2000.0,BidVest Stadium,Abongile Tom,Match Report,
2019-05-04,15:00,Kaizer Chiefs,1–1,Free State Stars,11483.0,Mbombela Stadium,Tshidiso Maruping,Match Report,
2019-05-04,15:00,Cape Town City,2–2,Orlando Pirates,35000.0,Athlone Stadium,Khulekani Thusi,Match Report,
2019-05-04,15:00,AmaZulu,1–1,Black Leopards,3000.0,King Goodwill Zwelithini Stadium,Michael Mosemeng,Match Report,
2019-05-04,15:00,Highlands Park,1–0,Bloem Celtic,2500.0,Makhulong Stadium,Philangenkosi Khumalo,Match Report,
2019-05-07,19:30,Sundowns,2–0,Golden Arrows,4000.0,Loftus Versfeld Stadium,Abongile Tom,Match Report,
2019-05-11,15:00,Black Leopards,1–0,Cape Town City,18000.0,Thohoyandou Stadium,Abongile Tom,Match Report,
2019-05-11,15:00,Free State Stars,0–1,Sundowns,500.0,Goble Park Stadium,Victor Hlungwani,Match Report,
2019-05-11,15:00,SuperSport,0–2,Highlands Park,2800.0,Lucas Masterpieces Moripe Stadium,Jelly Chavani,Match Report,
2019-05-11,15:00,Baroka FC,1–1,Maritzburg Utd,3500.0,Peter Mokaba Stadium,Eugene Mdluli,Match Report,
2019-05-11,15:00,Bloem Celtic,3–1,AmaZulu,746.0,Dr. Petrus Molemela Stadium,Thando Ndzandzeka,Match Report,
2019-05-11,15:00,Chippa Utd,1–0,Kaizer Chiefs,18342.0,Nelson Mandela Bay Stadium,Cedrick Muvhali,Match Report,
2019-05-11,15:00,Golden Arrows,0–1,Bidvest Wits,20000.0,Sugar Ray Xulu Stadium,Kulasande Qongqo,Match Report,
2019-05-11,15:00,Orlando Pirates,3–0,Polokwane City,20000.0,Orlando Stadium,Victor Gomes,Match Report,
