Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,
2022-10-04,19:30,Stellenbosch FC,3–0,Maritzburg Utd,,Danie Craven Stadium,Philangenkosi Khumalo,Match Report,
2022-10-04,19:30,SuperSport,3–1,Royal Eagles FC,,Lucas Masterpieces Moripe Stadium,Qunta Siyabulela,Match Report,
2022-10-05,17:00,AmaZulu,0–1,Richards Bay FC,,Moses Mabhida Stadium,Thando Ndzandzeka,Match Report,
2022-10-05,19:30,Moroka Swallows,1–2,Kaizer Chiefs,,Volkswagen Dobsonville Stadium,Thokozani Mkhize,Match Report,
2022-10-07,19:30,SuperSport,3–1,Sekhukhune United FC,,Lucas Masterpieces Moripe Stadium,Masixole Bambiso,Match Report,
2022-10-08,15:30,TS Galaxy,0–0,Moroka Swallows,,Mbombela Stadium,Sikhumbuzo Gasa,Match Report,
2022-10-08,20:00,Orlando Pirates,0–0,Richards Bay FC,,Orlando Stadium,Thando Ndzandzeka,Match Report,
2022-10-09,15:30,Stellenbosch FC,1–3,Kaizer Chiefs,,DHL Stadium,Tshidiso Maruping,Match Report,
2022-10-14,19:30,Orlando Pirates,1–1,AmaZulu,,Orlando Stadium,Tshepiso Mkhwanazi,Match Report,
2022-10-14,19:30,Golden Arrows,1–1,Stellenbosch FC,,Princess Magogo Stadium,Olani Kwinda,Match Report,
2022-10-15,15:30,Richards Bay FC,0–0,Maritzburg Utd,,King Goodwill Zwelithini Stadium,Christopher Kistoor,Match Report,
2022-10-15,17:30,Kaizer Chiefs,1–2,Chippa Utd,,Moses Mabhida Stadium,Masixole Bambiso,Match Report,
2022-10-18,17:00,Chippa Utd,1–0,Sekhukhune United FC,,Nelson Mandela Bay Stadium,Abongile Tom,Match Report,
2022-10-18,17:00,Stellenbosch FC,0–2,SuperSport,,Danie Craven Stadium,Sikhumbuzo Gasa,Match Report,
2022-10-18,19:30,Golden Arrows,0–2,Orlando Pirates,,Princess Magogo Stadium,Cedrick Muvhali,Match Report,
2022-10-19,17:00,AmaZulu,1–1,Maritzburg Utd,,Moses Mabhida Stadium,Thando Ndzandzeka,Match Report,
2022-10-19,19:30,Richards Bay FC,1–0,Cape Town City,,King Goodwill Zwelithini Stadium,Tshidiso Maruping,Match Report,
2022-10-19,19:30,Moroka Swallows,2–0,Royal Eagles FC,,Volkswagen Dobsonville Stadium,Mokhele Thulo,Match Report,
2022-10-19,19:30,Kaizer Chiefs,2–2,TS Galaxy,,FNB Stadium,Thokozani Mkhize,Match Report,
2022-10-19,19:30,Sundowns,1–0,Marumo Gallants FC,,Loftus Versfeld Stadium,Michael Mosemeng,Match Report,
2022-10-25,17:00,Royal Eagles FC,3–1,Golden Arrows,,Chatsworth Stadium,Jelly Chavani,Match Report,
2022-10-25,19:30,Maritzburg Utd,0–5,Sundowns,,Harry Gwala Stadium,Cedrick Muvhali,Match Report,
2022-10-25,19:30,Cape Town City,2–1,Chippa Utd,,DHL Stadium,Masixole Bambiso,Match Report,
2022-10-26,19:30,Marumo Gallants FC,0–0,AmaZulu,,Peter Mokaba Stadium,Qunta Siyabulela,Match Report,
2022-10-28,19:30,Maritzburg Utd,0–2,Golden Arrows,,Harry Gwala Stadium,Luxolo Badi,Match Report,
2022-10-29,15:30,Orlando Pirates,0–1,Kaizer Chiefs,,FNB Stadium,Victor Gomes,Match Report,
2022-10-29,17:30,Marumo Gallants FC,2–1,Cape Town City,,Peter Mokaba Stadium,Michael Mosemeng,Match Report,
2022-10-29,18:00,Royal Eagles FC,0–3,Sundowns,,Chatsworth Stadium,Thabo khabela,Match Report,
