,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
74,9.0,Sun,2016-11-20,15:30,Highlands Park,0–1,Golden Arrows,2500.0,Makhulong Stadium,Phillip Tinyani,Match Report,
75,9.0,Sun,2016-11-20,15:30,Bloem Celtic,0–0,Polokwane City,3500.0,Dr. Petrus Molemela Stadium,Lwandile Mfiki,Match Report,
76,,,,,,,,,,,,
77,10.0,Tue,2016-11-22,19:30,Cape Town City,3–2,Maritzburg Utd,1000.0,Athlone Stadium,Victor Hlungwani,Match Report,
78,10.0,Tue,2016-11-22,19:30,Platinum Stars,2–3,Ajax Cape Town,1500.0,Royal Bafokeng Stadium,Phelelani Ndaba,Match Report,
79,10.0,Tue,2016-11-22,19:30,Chippa Utd,0–1,Orlando Pirates,10000.0,Nelson Mandela Bay Stadium,Daniel Bennett,Match Report,
80,10.0,Wed,2016-11-23,19:30,Kaizer Chiefs,1–1,SuperSport,7000.0,Soccer City,Phillip Tinyani,Match Report,
81,10.0,Wed,2016-11-23,19:30,Bloem Celtic,2–1,Baroka FC,2000.0,Dr. Petrus Molemela Stadium,Cedrick Muvhali,Match Report,
82,10.0,Wed,2016-11-23,19:30,Polokwane City,1–0,Free State Stars,2000.0,Peter Mokaba Stadium,Victor Gomes,Match Report,
83,10.0,Wed,2016-11-23,19:30,Bidvest Wits,2–2,Highlands Park,500.0,BidVest Stadium,Lwandile Mfiki,Match Report,
84,10.0,Wed,2016-11-23,19:30,Sundowns,3–0,Golden Arrows,5000.0,Loftus Versfeld Stadium,Thando Ndzandzeka,Match Report,
85,,,,,,,,,,,,
86,1.0,Sun,2016-11-27,15:30,Sundowns,5–0,Highlands Park,10000.0,Loftus Versfeld Stadium,Kulasande Qongqo,Match Report,
87,,,,,,,,,,,,
88,11.0,Tue,2016-11-29,19:30,SuperSport,2–0,Bidvest Wits,2500.0,Mbombela Stadium,Kulasande Qongqo,Match Report,
89,11.0,Tue,2016-11-29,19:30,Kaizer Chiefs,1–1,Cape Town City,7000.0,Soccer City,Victor Gomes,Match Report,
90,11.0,Tue,2016-11-29,19:30,Maritzburg Utd,1–1,Chippa Utd,150.0,Harry Gwala Stadium,Bafana Mosia,Match Report,
91,11.0,Wed,2016-11-30,19:30,Ajax Cape Town,2–0,Sundowns,15000.0,Cape Town Stadium,Victor Hlungwani,Match Report,
92,11.0,Wed,2016-11-30,19:30,Free State Stars,3–1,Platinum Stars,1000.0,Goble Park Stadium,Lwandile Mfiki,Match Report,
93,11.0,Wed,2016-11-30,19:30,Baroka FC,1–1,Orlando Pirates,15000.0,Peter Mokaba Stadium,Phillip Tinyani,Match Report,
94,11.0,Wed,2016-11-30,19:30,Golden Arrows,3–3,Polokwane City,2000.0,King Goodwill Zwelithini Stadium,Daniel Bennett,Match Report,
95,,,,,,,,,,,,
96,12.0,Fri,2016-12-02,20:00,Bidvest Wits,2–3,Cape Town City,1000.0,BidVest Stadium,Thando Ndzandzeka,Match Report,
97,12.0,Sat,2016-12-03,15:30,Platinum Stars,2–3,Polokwane City,750.0,Royal Bafokeng Stadium,Khulekane Thusi,Match Report,
98,12.0,Sat,2016-12-03,15:30,Sundowns,4–1,Free State Stars,10000.0,Loftus Versfeld Stadium,Phillip Tinyani,Match Report,
99,12.0,Sat,2016-12-03,18:00,Chippa Utd,3–1,Kaizer Chiefs,25000.0,Nelson Mandela Bay Stadium,Victor Hlungwani,Match Report,
100,12.0,Sat,2016-12-03,20:15,Ajax Cape Town,1–0,Golden Arrows,1500.0,Athlone Stadium,Daniel Bennett,Match Report,
101,12.0,Sat,2016-12-03,20:15,Orlando Pirates,2–2,Highlands Park,8000.0,Orlando Stadium,Lwandile Mfiki,Match Report,
102,12.0,Sun,2016-12-04,15:30,Bloem Celtic,0–0,SuperSport,3000.0,Dr. Petrus Molemela Stadium,Phelelani Ndaba,Match Report,
103,12.0,Sun,2016-12-04,15:30,Baroka FC,0–1,Maritzburg Utd,5000.0,Pietersburg Stadium,Victor Gomes,Match Report,
104,,,,,,,,,,,,
105,11.0,Wed,2016-12-07,19:30,Highlands Park,1–1,Bloem Celtic,1500.0,Makhulong Stadium,Thando Ndzandzeka,Match Report,
106,,,,,,,,,,,,
107,13.0,Tue,2016-12-13,19:30,Maritzburg Utd,2–1,Orlando Pirates,5000.0,Harry Gwala Stadium,Naasif Moegamat Julius,Match Report,
108,13.0,Tue,2016-12-13,19:30,Cape Town City,0–4,Platinum Stars,500.0,Athlone Stadium,Phillip Tinyani,Match Report,
109,13.0,Wed,2016-12-14,19:30,Highlands Park,2–1,Ajax Cape Town,500.0,Makhulong Stadium,Olani Kwinda,Match Report,
110,13.0,Wed,2016-12-14,19:30,Golden Arrows,0–0,Bidvest Wits,2000.0,Princess Magogo Stadium,Phillip Tinyani,Match Report,
111,13.0,Wed,2016-12-14,19:30,Polokwane City,1–0,Chippa Utd,1000.0,Pietersburg Stadium,Daniel Bennett,Match Report,
112,13.0,Wed,2016-12-14,19:30,Kaizer Chiefs,0–0,Bloem Celtic,5000.0,Soccer City,Lwandile Mfiki,Match Report,
113,13.0,Wed,2016-12-14,19:30,Free State Stars,1–0,Baroka FC,500.0,Goble Park Stadium,Thando Ndzandzeka,Match Report,
114,,,,,,,,,,,,
115,14.0,Fri,2016-12-16,18:00,Cape Town City,1–1,SuperSport,2000.0,Cape Town Stadium,Daniel Bennett,Match Report,
116,14.0,Sat,2016-12-17,15:30,Chippa Utd,2–0,Highlands Park,5000.0,Sisa Dukashe Stadium,Bafana Mosia,Match Report,
117,14.0,Sat,2016-12-17,15:30,Platinum Stars,0–0,Maritzburg Utd,1500.0,Royal Bafokeng Stadium,Victor Gomes,Match Report,
118,14.0,Sat,2016-12-17,18:00,Bloem Celtic,0–3,Ajax Cape Town,7000.0,Dr. Petrus Molemela Stadium,Phillip Tinyani,Match Report,
119,14.0,Sat,2016-12-17,20:15,Bidvest Wits,3–1,Free State Stars,2000.0,BidVest Stadium,Lwandile Mfiki,Match Report,
120,14.0,Sun,2016-12-18,15:30,Kaizer Chiefs,3–2,Polokwane City,5000.0,Soccer City,Victor Hlungwani,Match Report,
121,14.0,Sun,2016-12-18,15:30,Baroka FC,1–1,Golden Arrows,1500.0,Peter Mokaba Stadium,Phelelani Ndaba,Match Report,
122,,,,,,,,,,,,
