date,home_team,away_team,home_goals,away_goals
2023-08-20,TS Galaxy,Kaizer Chiefs,1,0
2023-08-23,Richards Bay FC,Sundowns,0,1
2023-08-23,Cape Town City,Sekhukhune United FC,0,1
2023-08-25,Ajax Cape Town,Chippa Utd,0,1
2023-08-26,Golden Arrows,Polokwane City,3,2
2023-08-26,Kaizer Chiefs,AmaZulu,3,0
2023-08-26,Stellenbosch FC,SuperSport,1,2
2023-08-27,Royal Eagles FC,TS Galaxy,1,0
2023-08-29,SuperSport,Golden Arrows,0,3
2023-08-29,Orlando Pirates,Cape Town City,2,0
2023-08-30,Polokwane City,Sundowns,0,2
2023-08-30,Richards Bay FC,Sekhukhune United FC,1,1
2023-08-30,AmaZulu,TS Galaxy,1,0
2023-08-30,Moroka Swallows,Ajax Cape Town,3,1
2023-08-30,Chippa Utd,Royal Eagles FC,2,3
2023-08-30,Stellenbosch FC,Kaizer Chiefs,0,2
2023-09-15,Moroka Swallows,Richards Bay FC,0,1
2023-09-16,Golden Arrows,Stellenbosch FC,0,0
2023-09-16,Kaizer Chiefs,Royal Eagles FC,0,0
2023-09-17,AmaZulu,Cape Town City,3,2
2023-09-19,Stellenbosch FC,Moroka Swallows,0,2
2023-09-19,Ajax Cape Town,Golden Arrows,1,2
2023-09-19,Richards Bay FC,Chippa Utd,1,2
2023-09-20,Royal Eagles FC,Sekhukhune United FC,0,1
2023-09-20,SuperSport,Kaizer Chiefs,1,0
2023-09-20,TS Galaxy,Cape Town City,0,0
2023-09-20,Orlando Pirates,Sundowns,0,1
2023-09-25,Polokwane City,AmaZulu,0,0
2023-09-26,Chippa Utd,SuperSport,1,0
2023-09-27,Sundowns,Stellenbosch FC,3,1
2023-09-27,Kaizer Chiefs,Sekhukhune United FC,2,1
2023-09-29,Moroka Swallows,AmaZulu,2,1
2023-09-30,Cape Town City,Ajax Cape Town,3,1
2023-09-30,Polokwane City,Royal Eagles FC,1,0
2023-10-01,TS Galaxy,Richards Bay FC,1,1
2023-10-03,Kaizer Chiefs,Cape Town City,0,1
2023-10-04,Moroka Swallows,Chippa Utd,0,0
2023-10-04,Stellenbosch FC,TS Galaxy,3,0
2023-10-04,Ajax Cape Town,SuperSport,1,2
2023-10-04,Richards Bay FC,Polokwane City,0,1
2023-10-05,Sekhukhune United FC,Golden Arrows,0,1
2023-10-08,Sekhukhune United FC,Polokwane City,0,0
2023-10-24,AmaZulu,Orlando Pirates,0,0
2023-10-26,SuperSport,Royal Eagles FC,3,1
2023-10-27,Orlando Pirates,Polokwane City,1,1
2023-10-28,Golden Arrows,Kaizer Chiefs,2,1
2023-10-28,Chippa Utd,AmaZulu,1,1
2023-10-29,Richards Bay FC,Cape Town City,1,3
2023-10-29,TS Galaxy,Sekhukhune United FC,2,0
2023-11-01,TS Galaxy,SuperSport,2,3
2023-11-01,Ajax Cape Town,Orlando Pirates,2,1
2023-11-07,Orlando Pirates,Sekhukhune United FC,1,0
2023-11-07,Royal Eagles FC,Golden Arrows,1,0
2023-11-07,Cape Town City,Chippa Utd,2,1
2023-11-07,Stellenbosch FC,Richards Bay FC,2,1
2023-11-08,Kaizer Chiefs,Ajax Cape Town,3,2
2023-11-08,Moroka Swallows,TS Galaxy,1,0
2023-11-08,Polokwane City,SuperSport,1,1
2023-11-10,Cape Town City,Royal Eagles FC,2,0
2023-11-11,Polokwane City,Moroka Swallows,0,0
2023-11-11,Kaizer Chiefs,Orlando Pirates,0,1
2023-11-11,Chippa Utd,Stellenbosch FC,0,0
2023-11-12,Richards Bay FC,Ajax Cape Town,1,0
2023-11-12,Golden Arrows,AmaZulu,1,3
2023-11-12,Sekhukhune United FC,SuperSport,2,1
2023-11-25,Richards Bay FC,Orlando Pirates,0,0
2023-11-25,AmaZulu,Stellenbosch FC,0,1
2023-11-25,Ajax Cape Town,Royal Eagles FC,1,2
2023-11-26,TS Galaxy,Polokwane City,3,0
2023-11-26,Moroka Swallows,Kaizer Chiefs,0,1
2023-11-26,Golden Arrows,Cape Town City,0,1
2023-11-28,Ajax Cape Town,Stellenbosch FC,0,3
2023-11-29,SuperSport,Sundowns,0,2
2023-12-05,Orlando Pirates,Moroka Swallows,2,0
2023-12-06,AmaZulu,Sundowns,0,1
2023-12-06,Sekhukhune United FC,Chippa Utd,2,0
2023-12-08,Stellenbosch FC,Cape Town City,1,0
2023-12-09,Polokwane City,Kaizer Chiefs,0,1
2023-12-09,Chippa Utd,Golden Arrows,2,0
2023-12-09,Orlando Pirates,TS Galaxy,1,0
2023-12-10,Royal Eagles FC,Richards Bay FC,3,2
2023-12-13,AmaZulu,Sekhukhune United FC,1,0
2023-12-13,Sundowns,Ajax Cape Town,3,0
2023-12-15,Moroka Swallows,SuperSport,1,2
2023-12-17,Golden Arrows,Orlando Pirates,1,2
2023-12-22,AmaZulu,Ajax Cape Town,1,1
2023-12-23,Chippa Utd,Polokwane City,1,2
2023-12-23,Golden Arrows,TS Galaxy,0,2
2023-12-23,Royal Eagles FC,Moroka Swallows,0,0
2023-12-23,Kaizer Chiefs,Richards Bay FC,1,0
2023-12-23,SuperSport,Orlando Pirates,3,1
2023-12-24,Cape Town City,Sundowns,0,0
2023-12-27,Sundowns,Moroka Swallows,3,0
2023-12-29,AmaZulu,Royal Eagles FC,3,0
2023-12-29,Orlando Pirates,Stellenbosch FC,2,3
2023-12-30,TS Galaxy,Chippa Utd,2,0
2023-12-30,Moroka Swallows,Golden Arrows,0,3
2023-12-30,Richards Bay FC,SuperSport,3,1
2023-12-30,Sundowns,Polokwane City,0,0
2023-12-30,Sekhukhune United FC,Kaizer Chiefs,1,1
2023-12-31,Ajax Cape Town,Cape Town City,0,2
2024-02-16,SuperSport,Stellenbosch FC,1,1
2024-02-17,Moroka Swallows,Polokwane City,0,1
2024-02-17,Chippa Utd,Cape Town City,1,1
2024-02-17,Sekhukhune United FC,Richards Bay FC,3,1
2024-02-17,Ajax Cape Town,AmaZulu,3,1
2024-02-17,Sundowns,Orlando Pirates,1,1
2024-02-18,Royal Eagles FC,Kaizer Chiefs,0,0
2024-02-18,TS Galaxy,Golden Arrows,3,1
2024-02-27,Sundowns,AmaZulu,3,0
2024-02-28,Cape Town City,SuperSport,1,1
2024-02-28,Golden Arrows,Sekhukhune United FC,0,1
2024-03-01,Stellenbosch FC,Chippa Utd,1,1
2024-03-02,Polokwane City,Orlando Pirates,0,1
2024-03-02,Kaizer Chiefs,Moroka Swallows,0,0
2024-03-02,Richards Bay FC,Royal Eagles FC,1,2
2024-03-03,Ajax Cape Town,TS Galaxy,2,0
2024-03-05,Cape Town City,Stellenbosch FC,0,1
2024-03-05,AmaZulu,Moroka Swallows,1,1
2024-03-05,Kaizer Chiefs,Golden Arrows,1,0
2024-03-06,Orlando Pirates,Ajax Cape Town,1,1
2024-03-06,Sekhukhune United FC,Royal Eagles FC,1,0
2024-03-06,Chippa Utd,Richards Bay FC,3,0
2024-03-09,Orlando Pirates,Kaizer Chiefs,3,2
2024-03-09,SuperSport,AmaZulu,1,1
2024-03-09,Moroka Swallows,Sekhukhune United FC,1,4
2024-03-09,Stellenbosch FC,Ajax Cape Town,1,1
2024-03-09,Sundowns,Chippa Utd,2,0
2024-03-09,Richards Bay FC,TS Galaxy,0,0
2024-03-10,Polokwane City,Golden Arrows,0,1
2024-03-10,Royal Eagles FC,Cape Town City,2,0
2024-03-12,Sundowns,SuperSport,1,1
2024-03-30,Cape Town City,Kaizer Chiefs,0,0
2024-03-30,Polokwane City,Chippa Utd,1,0
2024-03-30,Stellenbosch FC,Royal Eagles FC,3,0
2024-03-30,Golden Arrows,Richards Bay FC,2,1
2024-03-30,TS Galaxy,AmaZulu,2,0
2024-03-30,Sekhukhune United FC,Orlando Pirates,2,1
2024-03-31,Ajax Cape Town,Moroka Swallows,0,1
2024-04-02,Sundowns,Richards Bay FC,1,0
2024-04-02,AmaZulu,Polokwane City,0,0
2024-04-02,Kaizer Chiefs,Stellenbosch FC,0,1
2024-04-02,Sekhukhune United FC,Cape Town City,2,2
2024-04-03,Chippa Utd,Ajax Cape Town,2,0
2024-04-03,TS Galaxy,Royal Eagles FC,3,0
2024-04-03,Golden Arrows,SuperSport,2,2
2024-04-03,Moroka Swallows,Orlando Pirates,1,1
2024-04-06,Richards Bay FC,Moroka Swallows,1,0
2024-04-06,Chippa Utd,Kaizer Chiefs,2,0
2024-04-06,Stellenbosch FC,Sekhukhune United FC,0,0
2024-04-06,Orlando Pirates,Golden Arrows,7,1
2024-04-06,SuperSport,TS Galaxy,0,1
2024-04-07,Cape Town City,AmaZulu,0,1
2024-04-07,Royal Eagles FC,Polokwane City,3,2
2024-04-09,Ajax Cape Town,Sundowns,0,1
2024-04-15,Moroka Swallows,Sundowns,2,2
2024-04-17,Sekhukhune United FC,Stellenbosch FC,1,1
2024-04-17,SuperSport,Polokwane City,1,1
2024-04-20,Golden Arrows,Royal Eagles FC,1,1
2024-04-20,Sekhukhune United FC,Ajax Cape Town,1,0
2024-04-20,Orlando Pirates,AmaZulu,1,0
2024-04-20,SuperSport,Chippa Utd,0,2
2024-04-21,Polokwane City,Cape Town City,2,2
2024-04-21,Richards Bay FC,Kaizer Chiefs,1,0
2024-04-21,TS Galaxy,Stellenbosch FC,1,2
2024-04-23,Sundowns,Sekhukhune United FC,2,1
2024-04-26,TS Galaxy,Moroka Swallows,2,1
2024-04-26,Ajax Cape Town,Richards Bay FC,1,0
2024-04-27,AmaZulu,Chippa Utd,2,1
2024-04-27,Kaizer Chiefs,SuperSport,2,1
2024-04-27,Stellenbosch FC,Polokwane City,5,0
2024-04-28,Royal Eagles FC,Orlando Pirates,0,4
2024-04-28,Cape Town City,Golden Arrows,1,1
2024-04-29,Sundowns,TS Galaxy,3,0
2024-04-30,Ajax Cape Town,Polokwane City,0,1
2024-04-30,Richards Bay FC,AmaZulu,2,1
2024-05-01,Chippa Utd,Moroka Swallows,1,2
2024-05-01,Cape Town City,Orlando Pirates,0,2
2024-05-01,Stellenbosch FC,Golden Arrows,3,0
2024-05-01,Royal Eagles FC,SuperSport,0,1
2024-05-02,Kaizer Chiefs,Sundowns,1,5
2024-05-03,Sekhukhune United FC,TS Galaxy,0,0
2024-05-07,Royal Eagles FC,Ajax Cape Town,0,1
2024-05-07,Kaizer Chiefs,TS Galaxy,2,2
2024-05-07,SuperSport,Sekhukhune United FC,1,1
2024-05-07,Cape Town City,Moroka Swallows,2,0
2024-05-08,Orlando Pirates,Chippa Utd,2,0
2024-05-08,Stellenbosch FC,AmaZulu,0,0
2024-05-08,Polokwane City,Richards Bay FC,0,0
2024-05-08,Golden Arrows,Sundowns,0,0
2024-05-10,SuperSport,Ajax Cape Town,0,0
2024-05-11,Moroka Swallows,Stellenbosch FC,2,0
2024-05-11,Polokwane City,Sekhukhune United FC,0,0
2024-05-11,Sundowns,Royal Eagles FC,1,0
2024-05-11,Orlando Pirates,Richards Bay FC,0,1
2024-05-12,Cape Town City,TS Galaxy,1,1
2024-05-12,Golden Arrows,Chippa Utd,1,1
2024-05-12,AmaZulu,Kaizer Chiefs,1,1
2024-05-14,Royal Eagles FC,Sundowns,0,2
2024-05-18,Royal Eagles FC,Chippa Utd,0,0
2024-05-18,Sekhukhune United FC,AmaZulu,0,1
2024-05-18,Golden Arrows,Ajax Cape Town,1,1
2024-05-18,Kaizer Chiefs,Polokwane City,0,0
2024-05-18,TS Galaxy,Orlando Pirates,1,0
2024-05-18,Cape Town City,Richards Bay FC,3,1
2024-05-18,Stellenbosch FC,Sundowns,0,1
2024-05-18,SuperSport,Moroka Swallows,2,0
2024-05-21,TS Galaxy,Sundowns,1,1
2024-05-25,Orlando Pirates,SuperSport,1,1
2024-05-25,Moroka Swallows,Royal Eagles FC,1,2
2024-05-25,Sundowns,Cape Town City,0,1
2024-05-25,Richards Bay FC,Stellenbosch FC,2,1
2024-05-25,Chippa Utd,Sekhukhune United FC,0,1
2024-05-25,Polokwane City,TS Galaxy,1,0
2024-05-25,AmaZulu,Golden Arrows,1,3
2024-05-25,Ajax Cape Town,Kaizer Chiefs,2,0
